course_code,course_name
EGC7106,방송댄스
EGC7108,치유로서의미술
EGC7109,영화속클래식음악
EGC7111,오케스트라1
EGC7112,오케스트라2
EGC7113,전통등문화의이해(연등회등문화전승전통등만들기)
EGC7114,키워드로읽는한류와K-콘텐츠
EGC7115,스포츠클라이밍
EGC7116,피클볼
EGC7117,관현악의 이해와 감상
EGC8013,시사한국어1
EGC8014,시사한국어2
EGC8026,한국어와한국문화기초
EGC8027,현대한국영화의이해
EGC8028,건강한정신과신체를위한불교명상
EGC9003,예술과경영의만남
EGC9005,컴퓨터알고리즘의이해
EGC9006,인도불교이야기
EGC9008,중국문자의이해
EGC9009,집합과수의세계로의초대
EGC9011,과학기술과사회
EGC9012,그리스문학과신화이야기
EGC9013,서구문학에나타난문제적인간읽기
EGC9016,유라시아지역의정보기술의활용
EGC9018,디지털기술과미래역량
EGC9021,비즈니스인텔리전스
EGC9022,사람의마음알기(나는너의마음을알고싶다)
EGC9023,"세상을이해하는도구,통계"
EGC9024,음악산업의 문화경제
EGC9025,영화로만나는문화심리학
EGC9026,극장경영
GCR2005,템플스테이:산사에서의행복한하루
GCR2006,"명상,레벨업"
GCR3001,관광과 문화
GCR3002,동남아시아와불교문화
GCR7001,세계음식의문화적이해
GCR7002,EnglishThroughDrama
GCR7003,"일본,문학,그리고불교"
IOT2001,지능사물인터넷개론
IOT4003,지능IoT시스템
IOT4005,IoT마이크로프로세서
IOT4007,IoT서비스개발실무
MIE2001,의료AI개론
PRI4001,미적분학및연습1
PRI4002,일반물리학및실험1
PRI4003,일반화학및실험1
PRI4004,일반생물학및실험1
PRI4005,일반통계학및실습1
PRI4011,대학통계학및실습1
PRI4012,미적분학및연습2
PRI4013,일반물리학및실험2
PRI4014,일반화학및실험2
PRI4015,일반생물학및실험2
PRI4016,일반통계학및실습2
PRI4022,대학통계학및실습2
PRI4023,확률및통계학
PRI4024,공학선형대수학
PRI4025,공학수학1
PRI4027,이산수학
PRI4028,생물학개론
PRI4029,물리학개론
PRI4030,화학개론
PRI4033,지구환경과학
PRI4035,프로그래밍기초와실습
PRI4039,인터넷프로그래밍
PRI4041,공학경제
PRI4046,기초수학(인문)
PRI4051,산업수학
PRI4052,수치해석
PRI5001,영어작문
PRI5002,TOEIC영어
PRI5017,Academic Listening and Discussion
PRI5051,시사영어
PRI5074,EnglishthroughFilms
PRI5075,AcademicWriting
PRI5076,BusinessWriting
PRI5079,EnglishConversation3
PRI5080,EnglishConversation4
PRI5081,중국어(초급)
PRI5082,중국어(중급)
PRI5083,일본어(초급)
PRI5084,일본어(중급)
PRI5085,독일어(초급)
PRI5087,불어(초급)
PRI5089,러시아어(초급)
PRI5091,스페인어(초급)
PRI5092,스페인어(중급)
PRI5093,아랍어(초급)
PRI5095,교양한문
PRI5096,라틴어(초급)
PRI5097,OPIc
PRI5099,TOPIK
RGC0003,불교와인간
RGC0005,기술보고서작성및발표
RGC0017,자아와명상1
RGC0018,자아와명상2
RGC1010,존재와역사명작세미나
RGC1011,경제와사회명작세미나
RGC1012,자연과기술명작세미나
RGC1013,문화와예술명작세미나
RGC1014,지혜와자비명작세미나
RGC1030,BasicEAS
RGC1041,컴퓨팅사고
RGC1042,프로그래밍입문
RGC1043,자율사물입문
RGC1046,인공지능과 미래사회
RGC1053,기업가정신과 리더십
RGC1063,외국인을위한대학글쓰기
RGC1064,디지털시대의글쓰기
RGC1074,커리어 디자인
RGC1079,커리어 디자인(열린전공학부)
RGC1080,EAS1
RGC1081,EAS2
RGC1082,Global English1
RGC1083,Global English2
RGC1084,Business English1
RGC1085,Business English2
RGC1090,디지털 기술과 사회의 이해(인문사회예체능계열)
RGC1091,디지털 기술과 사회의 이해(자연공학계열)
RGC1092,프로그래밍 이해와 실습(인문사회예체능계열)
RGC1093,프로그래밍 이해와 실습(자연공학계열)
RGC1094,빅데이터와 인공지능의 이해(인문사회예체능계열)
RGC1095,빅데이터와 인공지능의 이해(자연공학계열)
RGC2101,예술하는AI-기술이묻고예술이답하다
RGC2102,포스트휴먼시대의인간과기계
RGC2103,동물의마음:인간과의공존가능성
RGC2104,"언어,뇌,해부"
RGC2201,인류의지적여정과위대한발명
RGC2202,한류콘텐츠와글로벌감수성
RGC2203,다문화이해와문화콘텐츠기획
RGC2204,수와물리로본예술의세계
RGC2301,자원과이데올로기로본전쟁이야기
RGC2302,미래도시와로컬크리에이팅프로젝트
RGC2303,지속가능한미래와ESG
RGC2304,"우주시대,우주산업"
RGC6004,한국사회의이슈
RGC8005,한국의역사와전통
RGC8006,한국명작의이해
RGC8007,한중텍스트소통
RGC8008,한국대중문화이해
RGC8010,대학한국어Ⅰ(발표와토론)
RGC8011,대학한국어Ⅰ(독해와작문)
RGC8012,대학한국어Ⅱ(발표와토론)
RGC8013,대학한국어Ⅱ(독해와작문)
RGC8014,한국의법과정치
RGC8015,한국의경제와경영
RGC8016,수학과통계의이해
RGC8017,과학기술의이해
RGC8018,글로벌한국문화
SEM2002,반도체기초및실습
SEM2030,디지털논리설계및실습
SEM2032,회로이론
SEM2033,현대물리학개론
SEM4004,반도체소자및실습1
SEM4010,반도체공정및실습1
SEM4062,메모리소자및재료
SEM4070,반도체박막공학
SEM4074,센서공학
SEM4078,아날로그회로설계및실습
SEM4082,반도체나노바이오소재
SEM4085,메모리회로설계및실습
SEM4094,통신이론
SEM4095,광전자소자
SEM4096,혼성모드회로설계및실습
SEM4098,반도체산학강좌1
SEM4101,컴퓨터구조개론
STA2014,프로그래밍및실습2
STA2017,수리통계학1
STA2018,선형계획법
STA2019,통계수학및R실습
STA4004,다변량해석
STA4005,데이터마이닝
STA4008,비모수통계학
STA4034,회귀해석
STA4035,보험통계학
STA4038,표본설계
STA4040,베이지안통계학
